Gene,importance
R_GALNT13,0.009549705291691421
R_RAB11FIP4,0.009491378381909214
R_AMZ2P1,0.009451265054194032
R_GLB1L2,0.008693116164053485
R_PPP1R13B,0.006752310729562222
R_TBC1D3C,0.005371532671528016
R_GABRE,0.0052567107536507065
R_RASGEF1C,0.004988369936710636
R_SERINC5,0.004904199951824341
R_JPH3,0.004827300018041486
R_C1orf226,0.004698168551680432
R_VAV1,0.004661534731503955
R_TMEM201,0.004629425997924096
R_CHD5,0.0046067165699515515
R_KIF26A,0.00457635515082041
R_WNK2,0.004553841353219185
R_NCAPG2,0.004543537904903534
R_ATP10D,0.004472364985150776
R_RAP1GAP,0.0041876246534583075
R_KNDC1,0.004141805927271264
R_IGSF9B,0.004111721462462726
R_ADAMTS12,0.004000768284967842
R_EPSTI1,0.0039526909667586055
R_ZNF430,0.003885149698650219
R_CTIF,0.003668949066234944
R_GATA4,0.0035455771361058487
R_PCDH11X,0.0035183679391791608
R_ARHGAP20,0.0034652943795635714
R_PPP3CC,0.0033859811359760192
R_TCF4,0.0033773441574749406
R_ZEB2,0.0033249952425479655
R_NOS1AP,0.003240664771686786
R_HAAO,0.0031688635865806266
R_AATK,0.0031200287712173746
R_MSRB3,0.0030987694944377155
R_DOCK8,0.003044210247715899
R_GRIA1,0.0030439008620833596
R_SYT11,0.0030429515791290163
R_PHKA1,0.00303113022013958
R_CSRNP3,0.0029239400806921464
R_FAIM2,0.002860417441730149
R_C16orf74,0.0028215094889574967
R_PPARG,0.0027887762486801305
R_CSGALNACT1,0.0027876261049625726
R_XAF1,0.0027548233842108476
R_ZNF425,0.002737566333243875
R_ARAP2,0.0027308011282897162
R_LAMC1,0.002630054110940942
R_GNAL,0.002592728977308204
R_CCDC144A,0.0025914595487920747
R_EMID1,0.002526907142952975
R_ZFPM2,0.0025209178023037396
R_TBC1D19,0.0024991861765105176
R_WISP1,0.002489701988947741
R_NBEAP1,0.0024688599021240993
R_PID1,0.002437940337802075
R_IQCA1,0.002398751214029766
R_ELFN1,0.00237179112252149
R_SHANK3,0.002367293172773866
R_MEDAG,0.002291832923159513
R_ANO1,0.002245249987542024
R_BDKRB2,0.00222036333566837
R_ERBB4,0.002207376887379847
R_CACNA1B,0.0021806316735756234
R_SEMA3E,0.002162840114581603
R_ZNF736,0.002156619211979951
R_STMN2,0.002139193479470822
R_PTPN13,0.0021206715607869847
R_OLFML1,0.002082592639826548
R_PDE10A,0.002068305361522117
R_ESRP1,0.0020587755225857747
R_MYH14,0.002050702342112898
R_B4GALNT4,0.0020433753320580907
R_RBP7,0.002019056634159709
R_BCL11A,0.002013005773959577
R_PIK3R5,0.001985211001454838
R_POLI,0.001981629871371183
R_LOXL2,0.001975017522402137
R_TMEM65,0.0019690445106429603
R_PTPRG,0.0019674210899681354
R_CGNL1,0.0019418418357386074
R_BHMT,0.001906927663023054
R_ACTA2,0.0018681076674204715
R_STEAP1B,0.0018473171904770946
R_ACADL,0.0018375822634469883
R_IL10RA,0.001785342127368969
R_FBXL17,0.0017621134931424176
